PASAJE DOCE Y MEDIO N;1278;-354.109.581;-716.655.741;1278;Pasaje Dos y Medio Poniente A;Talca;Talca;Talca;Talca;VII Región;VII Región;CL;Chile;671020;RANGE_INTERPOLATED
MONROE;6572;-334.132.519;-705.625.971;6572;Monroe;Las Condes;Las Condes;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10837188;ROOFTOP
PASAJE PARQUE LAS VIOLETAS;2559;-335.891.299;-705.536.461;2559;Parque Las Violetas VI;Puente Alto;Puente Alto;Cordillera;Cordillera;Región Metropolitana;Región Metropolitana;CL;Chile;9425507;RANGE_INTERPOLATED
FUNDO SAN MIGUEL S/N;SN;-336.739;-70.969.798;s/n;Fundo San Miguel;El Monte;El Monte;Región Metropolitana;Región Metropolitana;CL;Chile;S/N;S/N;736141;ROOFTOP
TRASLAVI+A;60;-330.227.359;-715.582.019;60;Traslaviña;Viña;Viña del Mar;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;8528711;ROOFTOP
SANTA INES;441;-414.643.686;-729.629.676;441;Santa Inés;Puerto Montt;Puerto Montt;Llanquihue;Llanquihue;X Región;X Región;CL;Chile;754440;RANGE_INTERPOLATED
PEDRO DE VALDIVIA;99;-367.168.686;-72.972.091;99;Pedro de Valdivia;Lirquen;Lirquen;Concepcion;Concepcion;Región del Bío Bío;Región del Bío Bío;CL;Chile;759268;RANGE_INTERPOLATED
LOS COPIHUES C;36;-414.736.225;-729.713.853;36;Los Copihues;Puerto Montt;Puerto Montt;Llanquihue;Llanquihue;X Región;X Región;CL;Chile;767939;RANGE_INTERPOLATED
AVENIDA EL SOL;1975;-341.622.405;-707.035.783;1975;El Sol;Rancagua;Rancagua;Cachapoal;Cachapoal;VI Región;VI Región;CL;Chile;774203;RANGE_INTERPOLATED
HUEMULES;6051;-334.672.773;-707.057.769;6051;Huemules;Santiago;Santiago;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;790050;ROOFTOP
AVDA NUEVA TAJAMAR;481;-334.163.354;-706.055.655;481;Nueva Tajamar;Las Condes;Las Condes;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;9498709;ROOFTOP
CONDELL;29;-335.943.453;-706.969.119;29;Condell;San Bernardo;San Bernardo;Maipo;Maipo;Región Metropolitana;Región Metropolitana;CL;Chile;806866;RANGE_INTERPOLATED
SENADORA MARIA DE LA CRUZ;3081;-335.897.473;-705.795.421;2411;Avda Concha y Toro;Puente Alto;Puente Alto;Cordillera;Cordillera;Región Metropolitana;Región Metropolitana;CL;Chile;9451240;ROOFTOP
ELEUTERIO RAMIREZ;1446;-334.505.921;-70.655.468;1446;Eleuterio Ramírez;Santiago;Santiago;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;831415;ROOFTOP
CASA;19;-330.519.704;-716.233.398;780;Yerbas Buenas;Valparaíso;Valparaíso;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;846382;ROOFTOP
VILA 9;1522;-334.512.946;-705.512.532;9;Pepe Vila;La Reina;La Reina;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;865686;RANGE_INTERPOLATED
PAASAJE NANCUL;3389;-336.189.696;-706.166.481;3389;Estación Ñancul;Puente Alto;Puente Alto;Cordillera;Cordillera;Región Metropolitana;Región Metropolitana;CL;Chile;10848404;ROOFTOP
RIQUELME;620;-254.088.406;-704.840.934;620;Riquelme;Taltal;Taltal;Antofagasta;Antofagasta;Región de Antofagasta;Región de Antofagasta;CL;Chile;10783778;RANGE_INTERPOLATED
MURTA;791;-455.797.247;-720.674.037;791;Murta;Coyhaique;Coyhaique;Coihaique;Coihaique;XI Región;XI Región;CL;Chile;891259;ROOFTOP
SAN LUIS DE MIRAFLORES;SN;-35.846.765;-715.989.325;Of 102;452;Calle Curapalihue;Calle Curapalihue;Linares;Linares;Linares;Linares;VII Región;VII Región;892180;ROOFTOP
VEINTIUNODE MAYO;1800;-455.771.245;-720.465.656;1800;Veintiuno de Mayo;Coyhaique;Coyhaique;Coihaique;Coihaique;XI Región;XI Región;CL;Chile;900195;RANGE_INTERPOLATED
